,index,SPX,TradeDate,SPY
506,506,1281.06,2012-01-05,128.04
507,507,1277.81,2012-01-06,127.71
508,508,1280.7,2012-01-09,128.02
509,509,1292.08,2012-01-10,129.13
510,510,1292.48,2012-01-11,129.2
511,511,1295.5,2012-01-12,129.51
512,512,1289.09,2012-01-13,128.84
513,513,1293.67,2012-01-17,129.34
514,514,1308.04,2012-01-18,130.77
515,515,1314.5,2012-01-19,131.46
516,516,1315.38,2012-01-20,131.95
517,517,1316.0,2012-01-23,131.61
518,518,1314.65,2012-01-24,131.46
519,519,1326.05,2012-01-25,132.56
520,520,1318.43,2012-01-26,131.88
521,521,1316.33,2012-01-27,131.82
522,522,1313.01,2012-01-30,131.37
523,523,1312.41,2012-01-31,131.32
524,524,1324.09,2012-02-01,132.47
525,525,1325.54,2012-02-02,132.68
526,526,1344.9,2012-02-03,134.54
527,527,1344.33,2012-02-06,134.45
528,528,1347.05,2012-02-07,134.79
529,529,1349.96,2012-02-08,135.19
530,530,1351.95,2012-02-09,135.36
531,531,1342.64,2012-02-10,134.361
532,532,1351.77,2012-02-13,135.36
533,533,1350.5,2012-02-14,135.19
534,534,1343.23,2012-02-15,134.56
535,535,1358.04,2012-02-16,136.049
536,536,1361.23,2012-02-17,136.41
537,537,1362.21,2012-02-21,136.47
538,538,1357.66,2012-02-22,136.032
539,539,1363.46,2012-02-23,136.631
540,540,1365.74,2012-02-24,136.93
541,541,1367.59,2012-02-27,137.16
542,542,1372.18,2012-02-28,137.559
543,543,1365.68,2012-02-29,137.02
544,544,1374.09,2012-03-01,137.73
545,545,1369.63,2012-03-02,137.312
546,546,1364.33,2012-03-05,136.75
547,547,1343.36,2012-03-06,134.75
548,548,1352.63,2012-03-07,135.69
549,549,1365.91,2012-03-08,137.04
550,550,1370.87,2012-03-09,137.57
551,551,1371.09,2012-03-12,137.58
552,552,1395.95,2012-03-13,140.062
553,553,1394.28,2012-03-14,139.91
554,554,1402.6,2012-03-15,140.72
555,555,1404.17,2012-03-16,140.3
556,556,1409.75,2012-03-19,140.85
557,557,1405.52,2012-03-20,140.44
558,558,1402.89,2012-03-21,140.21
559,559,1392.78,2012-03-22,139.2
560,560,1397.11,2012-03-23,139.65
561,561,1416.51,2012-03-26,141.61
562,562,1412.52,2012-03-27,141.17
563,563,1405.54,2012-03-28,140.47
564,564,1403.28,2012-03-29,140.23
565,565,1408.47,2012-03-30,140.81
566,566,1419.04,2012-04-02,141.84
567,567,1413.38,2012-04-03,141.26
